rank,player,nation,confederation,goals,caps,goals_per_match,career_span,date_of_50th_goal
1,Cristiano Ronaldo,Portugal,UEFA,128,205,0.62,2003-2024,2011-11-15
2,Lionel Messi,Argentina,CONMEBOL,106,180,0.59,2005-2024,2012-09-07
3,Ali Daei,Iran,AFC,109,149,0.73,1993-2006,2000-03-15
4,Sunil Chhetri,India,AFC,94,150,0.63,2005-2024,2018-06-10
5,Ferenc Puskas,Hungary,UEFA,84,85,0.99,1945-1962,1952-05-20
6,Robert Lewandowski,Poland,UEFA,82,148,0.55,2008-2024,2017-10-08
7,Neymar,Brazil,CONMEBOL,79,128,0.62,2010-2023,2016-10-06
8,Pele,Brazil,CONMEBOL,77,92,0.84,1957-1971,1964-06-11
9,Romelu Lukaku,Belgium,UEFA,75,110,0.68,2010-2024,2021-06-17
10,Miroslav Klose,Germany,UEFA,71,137,0.52,2001-2014,2008-03-26
